From;To;Direction;Label;Type;Tags;Description;Experiment ID;Base Model;Model Configuration;Link;Analysis prompt;Text;Temperature;[Engineer];Timestamp
cellular respiration processes;ATP;neutral;;;;;20;BERT;COMPGCN;through;Test experiment 3 with compgcn;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;21;BERT;RGAT;produce;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;21;BERT;RGAT;produce;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
Mitochondria;cellular respiration processes;neutral;;;;;21;BERT;RGAT;produce;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
ATP;Mitochondria;neutral;;;;;21;BERT;RGAT;produce;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
ATP;cellular respiration processes;neutral;;;;;21;BERT;RGAT;through;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
cellular respiration processes;Mitochondria;neutral;;;;;21;BERT;RGAT;produce;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
cellular respiration processes;ATP;neutral;;;;;21;BERT;RGAT;through;Test experiment 3 with rgat;Mitochondria produce ATP through cellular respiration processes.;0.5;;2025-06-25 03:24:34
The enzyme catalase;water;neutral;;;;;13;BERT;RGCN;break;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;hydrogen peroxide;neutral;;;;;13;BERT;RGCN;break;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;13;BERT;RGCN;break;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;oxygen;neutral;;;;;13;BERT;RGCN;break;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;The enzyme catalase;neutral;;;;;13;BERT;RGCN;break;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;water;neutral;;;;;13;BERT;RGCN;into;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;oxygen;neutral;;;;;13;BERT;RGCN;into;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
water;hydrogen peroxide;neutral;;;;;13;BERT;RGCN;into;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
oxygen;hydrogen peroxide;neutral;;;;;13;BERT;RGCN;into;Test experiment 1 with rgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;14;BERT;COMPGCN;break;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;hydrogen peroxide;neutral;;;;;14;BERT;COMPGCN;break;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;14;BERT;COMPGCN;break;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;oxygen;neutral;;;;;14;BERT;COMPGCN;break;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;The enzyme catalase;neutral;;;;;14;BERT;COMPGCN;break;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;water;neutral;;;;;14;BERT;COMPGCN;into;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;oxygen;neutral;;;;;14;BERT;COMPGCN;into;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
water;hydrogen peroxide;neutral;;;;;14;BERT;COMPGCN;into;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
oxygen;hydrogen peroxide;neutral;;;;;14;BERT;COMPGCN;into;Test experiment 1 with compgcn;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;15;BERT;RGAT;break;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;hydrogen peroxide;neutral;;;;;15;BERT;RGAT;break;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;15;BERT;RGAT;break;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
The enzyme catalase;oxygen;neutral;;;;;15;BERT;RGAT;break;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;The enzyme catalase;neutral;;;;;15;BERT;RGAT;break;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;water;neutral;;;;;15;BERT;RGAT;into;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
hydrogen peroxide;oxygen;neutral;;;;;15;BERT;RGAT;into;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
water;hydrogen peroxide;neutral;;;;;15;BERT;RGAT;into;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
oxygen;hydrogen peroxide;neutral;;;;;15;BERT;RGAT;into;Test experiment 1 with rgat;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;0.5;;2025-06-25 03:24:33
DNA polymerase;new DNA strands;neutral;;;;;16;BERT;RGCN;synthesize;Test experiment 2 with rgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
DNA polymerase;new DNA strands;neutral;;;;;16;BERT;RGCN;synthesize;Test experiment 2 with rgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
DNA polymerase;replication;neutral;;;;;16;BERT;RGCN;synthesize;Test experiment 2 with rgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
new DNA strands;DNA polymerase;neutral;;;;;16;BERT;RGCN;synthesize;Test experiment 2 with rgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
new DNA strands;replication;neutral;;;;;16;BERT;RGCN;during;Test experiment 2 with rgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
replication;new DNA strands;neutral;;;;;16;BERT;RGCN;during;Test experiment 2 with rgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
DNA polymerase;new DNA strands;neutral;;;;;17;BERT;COMPGCN;synthesize;Test experiment 2 with compgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
DNA polymerase;new DNA strands;neutral;;;;;17;BERT;COMPGCN;synthesize;Test experiment 2 with compgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
DNA polymerase;replication;neutral;;;;;17;BERT;COMPGCN;synthesize;Test experiment 2 with compgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
new DNA strands;DNA polymerase;neutral;;;;;17;BERT;COMPGCN;synthesize;Test experiment 2 with compgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
new DNA strands;replication;neutral;;;;;17;BERT;COMPGCN;during;Test experiment 2 with compgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
replication;new DNA strands;neutral;;;;;17;BERT;COMPGCN;during;Test experiment 2 with compgcn;DNA polymerase synthesizes new DNA strands during replication.;0.5;;2025-06-25 03:24:33
Attention weights;semantic significance;positive;;;;;12;BERT;RGAT;reveal;RGAT with broad attention scope;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;3.0;;2025-06-10T21:20:25.308619
Dynamic focusing;context variations;positive;;;;;12;BERT;RGAT;adapts to;RGAT with broad attention scope;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;3.0;;2025-06-10T21:20:25.308619
Graph attention networks;relationship importance;positive;;;;;11;BERT;RGAT;learn;RGAT with standard attention;Graph attention networks learn relationship importance. Multi-head mechanisms capture diverse patterns.;1.0;;2025-06-10T21:20:25.308612
Multi-head mechanisms;diverse patterns;positive;;;;;11;BERT;RGAT;capture;RGAT with standard attention;Graph attention networks learn relationship importance. Multi-head mechanisms capture diverse patterns.;1.0;;2025-06-10T21:20:25.308612
Attention mechanisms;relevant connections;positive;;;;;10;BERT;RGAT;prioritize;RGAT with focused attention;Attention mechanisms prioritize relevant connections. Weighted aggregation emphasizes important relationships.;0.1;;2025-06-10T21:20:25.308605
Weighted aggregation;important relationships;positive;;;;;10;BERT;RGAT;emphasizes;RGAT with focused attention;Attention mechanisms prioritize relevant connections. Weighted aggregation emphasizes important relationships.;0.1;;2025-06-10T21:20:25.308605
Compositional operators;semantic spaces;positive;;;;;9;BERT;COMPGCN;transform;CompGCN with creative exploration;Compositional operators transform semantic spaces. Mathematical functions encode relational patterns.;3.0;;2025-06-10T21:20:25.308597
Mathematical functions;relational patterns;positive;;;;;9;BERT;COMPGCN;encode;CompGCN with creative exploration;Compositional operators transform semantic spaces. Mathematical functions encode relational patterns.;3.0;;2025-06-10T21:20:25.308597
Entity-relation interactions;compositional structures;positive;;;;;8;BERT;COMPGCN;form;CompGCN with balanced approach;Entity-relation interactions form compositional structures. Unified embedding spaces capture dependencies.;1.0;;2025-06-10T21:20:25.308589
Unified embedding spaces;dependencies;positive;;;;;8;BERT;COMPGCN;capture;CompGCN with balanced approach;Entity-relation interactions form compositional structures. Unified embedding spaces capture dependencies.;1.0;;2025-06-10T21:20:25.308589
Composition functions;entity and relation embeddings;positive;;;;;7;BERT;COMPGCN;merge;CompGCN with precise extraction;Composition functions merge entity and relation embeddings. Joint representations enable unified processing.;0.1;;2025-06-10T21:20:25.308578
Joint representations;unified processing;positive;;;;;7;BERT;COMPGCN;enable;CompGCN with precise extraction;Composition functions merge entity and relation embeddings. Joint representations enable unified processing.;0.1;;2025-06-10T21:20:25.308578
Knowledge graphs;structured reasoning;positive;;;;;6;BERT;RGCN;enable;RGCN with exploratory temperature;Knowledge graphs enable structured reasoning. Relation-specific parameters capture semantic nuances.;3.0;;2025-06-10T21:20:25.308562
Relation-specific parameters;semantic nuances;positive;;;;;6;BERT;RGCN;capture;RGCN with exploratory temperature;Knowledge graphs enable structured reasoning. Relation-specific parameters capture semantic nuances.;3.0;;2025-06-10T21:20:25.308562
Relational convolutions;semantic understanding;positive;;;;;5;BERT;RGCN;enhance;RGCN with standard temperature;Relational convolutions enhance semantic understanding. Multi-relational graphs benefit from specialized architectures.;1.0;;2025-06-10T21:20:25.308297
Multi-relational graphs;specialized architectures;positive;;;;;5;BERT;RGCN;benefit from;RGCN with standard temperature;Relational convolutions enhance semantic understanding. Multi-relational graphs benefit from specialized architectures.;1.0;;2025-06-10T21:20:25.308297
Graph neural networks;relational data structures;positive;;;;;4;BERT;RGCN;process;RGCN with conservative temperature;Graph neural networks process relational data structures. RGCN models handle heterogeneous relationship types effectively.;0.1;;2025-06-10T21:20:25.308291
RGCN models;heterogeneous relationship types;positive;;;;;4;BERT;RGCN;handle;RGCN with conservative temperature;Graph neural networks process relational data structures. RGCN models handle heterogeneous relationship types effectively.;0.1;;2025-06-10T21:20:25.308291
Academic studies;artificial intelligence applications;positive;;;;;3;BERT;None;explored;Maximum temperature for diverse relationships;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;3.0;;2025-06-10T21:20:25.308283
Neural systems;complex behavioral patterns;positive;;;;;3;BERT;None;exhibited;Maximum temperature for diverse relationships;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;3.0;;2025-06-10T21:20:25.308283
Researchers;computational methods;positive;;;;;2;BERT;None;analyzed;Standard temperature for balanced extraction;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
Deep learning algorithms;consistent results;positive;;;;;2;BERT;None;showed;Standard temperature for balanced extraction;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
Scientists;rigorous experiments;positive;;;;;1;BERT;None;conducted;Minimal temperature for maximum confidence;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;0.1;;2025-06-10T21:20:25.308186
Machine learning models;exceptional performance;positive;;;;;1;BERT;None;demonstrated;Minimal temperature for maximum confidence;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;0.1;;2025-06-10T21:20:25.308186
